,mol_id,Smiles
878,544,O=C1CCCC2=C1C(c1cn(-c3ccccc3)nc1-c1cccs1)CC(=O)N2c1ccc(F)cc1
794,1130,O=[N+]([O-])c1ccc(Cn2cc(COCc3c(-c4ccccc4)nc4sc5ccccc5n34)nn2)cc1
1234,1090,N#Cc1c(-c2ccc(O)cc2O)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N
1281,1484,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
507,695,CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccccc2Cl)cc1
172,1416,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
423,1212,CCn1cc(C(=O)NNS(=O)(=O)c2ccc(C)cc2)c(=O)c2ccccc21
1390,1440,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
230,1204,COc1cc(-c2nnc(COc3cc(=O)oc4ccccc34)[nH]2)cc(OC)c1OC
107,172,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1148,1542,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1436,872,CCn1cc(C(=O)NN)c(=O)c2cc(F)ccc21
202,641,CC(=O)NC1=NN(C(C)=O)C2(S1)C1CCCC2C(c2ccc(Cl)cc2)NC1c1ccc(Cl)cc1
1350,1259,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
979,387,N=C1C(=S)N(c2ccc(I)cc2)C(=S)N1c1ccc(I)cc1
1439,20,COc1c(N2CCN(c3nnc(-c4ccc([N+](=O)[O-])cc4)s3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1554,1520,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
73,1470,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
321,1528,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O
249,1393,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1047,794,c1ccc(-c2nc3sc4ccccc4n3c2COCCCCCCCCCCn2cncn2)cc1
1187,450,COc1cc(C2C(Cl)C(=O)N2CCN2CCN(C(=O)CCl)CC2)ccc1O
668,1447,COc1ccc(C2SCC(=O)N2CCN2CCNCC2)cc1O
1443,297,Nc1nc(-c2ccc(F)cc2)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)n1
814,1051,Cc1ccc(-c2nn(-c3ccccc3)cc2C2CC(=O)N(c3ccc(F)cc3)C3=C2C(=O)CC(C)(C)C3)cc1
1336,1421,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
647,1185,COc1ccc(-c2cc(-c3ccc(Nc4cc(=O)oc5ccccc45)cc3)nc(N)n2)cc1OC
609,1217,Cl.Cl.Fc1ccc(CN(Cc2nc3ccccc3[nH]2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(F)c1
933,857,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCn1ccnc1
