,mol_id,Smiles
462,353,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1
208,1493,COc1ccc2cc3[n+](cc2c1OCc1nc2ccccc2n1Cc1ccc(Cl)cc1Cl)CCc1cc2c(cc1-3)OCO2.[Cl-]
578,1512,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1465,1417,COc1ccccc1-n1cc(COC(=O)c2cn(C3CC3)c3cc(N4CCN(Cc5cn(-c6ccccc6OC)nn5)CC4)c(F)cc3c2=O)nn1
738,632,CC1CC(C)CN(c2nc(-c3ccc(NCC(=O)Nc4ccc(F)cc4)cc3)nc(N3CC(C)CC(C)C3)n2)C1
33,520,Cc1cc(=O)oc2cc(OCc3ccc(Cn4cncn4)cc3)ccc12.Cl
150,1311,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
943,1192,C#CCn1cc(-c2cnc(N)s2)c(=O)c2cc(F)cc(F)c21
1119,159,CCOc1ccc2nc(NC(=O)CSc3nnc(-c4cc5ccccc5oc4=O)o3)sc2c1
976,1415,CCCCCCCCCCCCn1c(-c2cc(OC)c(O)c3c2CC2c4cc5c(cc4CCN2C3)OCO5)nc2ccccc21
1092,24,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1519,614,COc1ccc(CN2CCN(c3nc(Oc4cccc5cccnc45)nc(Sc4nnc(-c5cc6ccccc6oc5=O)o4)n3)CC2)c(OC)c1OC
562,1516,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
559,1419,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
558,1261,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCn1c[n+](Cc2ccc(Cl)cc2Cl)cn1.[Br-]
1272,41,N#Cc1ccc(Nc2nc(Oc3ncnc4ccccc34)nc(N3CCN(c4cccc(Cl)c4Cl)CC3)n2)cc1C(F)(F)F
1194,997,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
680,391,COc1ccccc1-c1nnc(Cn2c(C)nc3ccccc32)o1
474,1086,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)CSC5c5ccc(Cl)cc5)cc4)nc(N(C)C)n3)ccc12
545,609,CCn1cc(C(=O)NN)c(=O)c2ccc(Cl)cc21
713,181,CCOC(=O)c1cn(CC(O)Cn2cncn2)c2ccc(F)cc2c1=O
1029,1338,CCn1cc(C(=O)NCC(=O)N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c(=O)c2cc3c(cc21)OCO3
1085,709,CCOP(=O)(OCC)C(CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)P(=O)(OCC)OCC
1448,42,N#Cc1ccc(Nc2nc(Oc3ncnc4ccccc34)nc(N3CCN(c4ccc(F)cc4)CC3)n2)cc1C(F)(F)F
471,530,CCCCCn1cc(-c2cnc(N)s2)c(=O)c2cc(F)cc(F)c21
670,1449,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
728,135,COc1ccc2oc(=O)cc(Cn3cnc4c(=O)n(C)c(=O)n(C)c43)c2c1
925,661,CCN1CCN(CC2SC(c3ccc(F)cc3)N(c3ccc(Nc4nc(Oc5cc(=O)n(C)c6ccccc56)nc(N(C)C)n4)cc3)C2=O)CC1
1521,1535,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
491,102,CCOC(=O)c1cn(CC2CO2)c2ccc(C)cc2c1=O
1463,968,O=C(OCc1cn(-c2ccc(Cl)cc2Cl)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(Cl)cc5Cl)nn4)CC3)c(F)cc2c1=O
792,398,CCn1cc(C(=O)NN)c(=O)c2cc(F)c(Cl)cc21
1406,1509,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21
988,701,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCn1c[n+](Cc2ccc(F)cc2F)cn1.[Br-]
439,928,CCN1CCN(CC2SC(c3ccc(OC)cc3)N(c3ccc(Nc4nc(Oc5cc(=O)n(C)c6ccccc56)nc(N(C)C)n4)cc3)C2=O)CC1
862,971,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCn1c[n+](Cc2ccc(Cl)cc2)cn1.[Br-]
1360,1173,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(P(=O)(O)O)P(=O)(O)O)CC3)c(F)cc2c1=O
873,382,O=C(OCc1cn(-c2ccc(Br)cc2)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(Br)cc5)nn4)CC3)c(F)cc2c1=O
1159,1462,Cn1c(=O)c2ncn(Cc3cc(=O)oc4ccc(C(C)(C)C)cc34)c2n(C)c1=O
1496,1229,CC(C)=CCc1c2c(c(O)c3c(=O)c4ccc(O)c(O)c4oc13)C=CC(C)(C)O2
1309,1339,CCOC(=O)c1cn(CC(O)Cn2cncn2)c2c(Cl)cc(Cl)cc2c1=O
962,1144,O=C(OCc1cn(-c2ccc([N+](=O)[O-])cc2)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc([N+](=O)[O-])cc5)nn4)CC3)c(F)cc2c1=O
1038,1106,COc1ccc(-c2nnc(COc3cc(=O)oc4ccccc34)[nH]2)cc1OC
1371,1480,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1400,324,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1cn(-c2ccccc2)nc1-c1ccc(F)cc1
815,1345,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1271,156,Cc1ccc2oc(=O)cc(Cn3cnc4c(=O)n(C)c(=O)n(C)c43)c2c1
329,1112,CCn1cc(C(=O)NNS(=O)(=O)c2ccc(C)cc2)c(=O)c2ccc(Cl)cc21
899,797,CCOC(=O)c1cn(CC(O)Cn2cncn2)c2c(F)cccc2c1=O
600,976,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CN4C(=O)C(=O)c5ccccc54)C(C)C3)c(F)c21
149,1263,CC(=O)NC1=NN(C(C)=O)C2(S1)C1CCCC2C(c2ccccc2Cl)NC1c1ccccc1Cl
628,564,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCn1cc[n+](Cc2ccc(F)cc2F)c1.[Br-]
368,1534,CCn1cc(C(=O)NCCC(=O)N2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c(=O)c2cc3c(cc21)OCO3
894,517,CCn1cc(C(=O)NN)c(=O)c2ccc(C)nc21
737,270,CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCc3cn(Cc4ccc(Cl)c(Cl)c4)nn3)n12
1423,781,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1442,12,COC1(O)C(=O)c2ccccc2OC1(OC)c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1
787,168,CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCCCn3c([N+](=O)[O-])cnc3C)n12
20,1483,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(-c5ccc([N+](=O)[O-])cc5)nn4)CC3)cc21
382,1523,CCC1C(=O)CC(c2ccc(Cl)cc2)N(C(=O)CCl)C1c1ccc(Cl)cc1
1486,272,CCCCCCn1cc(COCc2c(-c3ccccc3)nc3sc4ccccc4n23)nn1
189,640,CC(=O)NC1=NN(C(C)=O)C2(S1)C1CCCC2C(c2cccc(F)c2)NC1c1cccc(F)c1
139,1515,O=C1C(=O)N(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c2ccccc21
719,1275,CCCCCCCn1c(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)nc2ccccc21.[Cl-]
520,3,CC1C(=O)CC(c2ccc(Cl)cc2)N(C(=O)CN2CCN(C)CC2)C1c1ccc(Cl)cc1
120,1040,COc1cc(-c2nc3ccccc3n2Cc2ccccc2F)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
857,834,O=c1c2c3c(sc2nnn1-c1ccccc1Cl)CCCC3
1375,1468,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1056,802,CC1=Cc2c(c(C)cc(O)c2C(C)C)C(=O)C1=O
1528,933,Cc1ccc2c(c1)C(=O)C(=O)N2CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
1421,455,Cc1cc(=O)oc2cc(OCc3ccc(Cn4cncn4)cc3)cc(OCc3ccc(Cn4cncn4)cc3)c12.Cl
537,1115,CCC(=O)NC1=NN(C(=O)CC)C2(S1)C1CCCC2C(c2ccc(F)cc2)NC1c1ccc(F)cc1
259,903,O=c1on(CO)c2ccccc12
486,548,COc1cc(-c2nnc(COc3cc(=O)oc4ccccc34)[nH]2)ccc1O
262,51,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
68,998,CCn1cc(C(=O)NN)c(=O)c2cc(Cl)ccc21
596,513,S=C1NNC2(N1)C1CCCC2C(c2ccc(Br)cc2)NC1c1ccc(Br)cc1
163,471,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1cn(-c2ccccc2)nc1-c1cccs1
1378,467,CC1CC(C)CN(c2nc(-c3ccc(NCC(=O)Nc4nc5ccc(F)cc5s4)cc3)nc(N3CC(C)CC(C)C3)n2)C1
682,726,COc1ccc(Cn2c(-c3cc(OC)c(O)c4c3CC3c5cc6c(cc5CCN3C4)OCO6)nc3ccccc32)cc1
778,1253,Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1
203,124,CC1CC(C)CN(c2nc(Oc3cccc4cccnc34)nc(Sc3nnc(-c4cc5ccccc5oc4=O)o3)n2)C1
1238,660,CCn1cc(C(=O)O)c(=O)c2ccc3c(c21)OCO3
1090,240,COc1ccc2cc3[n+](cc2c1OCc1nc2ccc(F)cc2[nH]1)CCc1cc2c(cc1-3)OCO2.[Cl-]
939,460,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1c[n+](c2ccccc21)Cc1cc([N+](=O)[O-])cc(c1O)C[n+]1cn(c2ccccc21)Cc1ccc(cc1)C3=O.[Br-].[Br-]
992,888,N#Cc1ccc(Nc2nc(Oc3ncnc4ccccc34)nc(N3CCN(c4cccc(C(F)(F)F)c4)CC3)n2)cc1C(F)(F)F
723,606,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
606,322,O=c1cc(OCc2nnc(-c3ccc(F)cc3)[nH]2)c2ccccc2o1
1452,1266,CCCn1cc(-c2cnc(N)s2)c(=O)c2cc(F)cc(F)c21
412,1197,O=C(OCc1cn(-c2ccc(Cl)cc2)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(Cl)cc5)nn4)CC3)c(F)cc2c1=O
1413,1334,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)C(CN6CCN(c7ccccn7)CC6)SC5c5cccc(F)c5)cc4)nc(N(C)C)n3)ccc12
7,435,Cc1ccc(C2C(C)C(=O)C(C)C(c3ccc(C)cc3)N2C(=O)CN2CCOCC2)cc1
307,1245,O=C(OCc1cn(-c2ccc(F)cc2F)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5ccc(F)cc5F)nn4)CC3)c(F)cc2c1=O
735,132,CCOc1ccc(NC(=O)CNc2ccc(-c3nc(N4CC(C)CC(C)C4)nc(N4CC(C)CC(C)C4)n3)cc2)cc1
147,1053,COc1ccc(C2C(Cl)C(=O)N2CCN2CCN(C(=O)CCl)CC2)cc1
1338,1087,CCCCCCCn1c(-c2cc(-c3ccc(C)cc3)nc(N)n2)nc2ccccc21
354,938,CC1CC(C)CN(c2nc(Nc3ccc(C#N)c(C(F)(F)F)c3)nc(Oc3ccnc4ccccc34)n2)C1
1242,276,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)C(CN6CCN(c7ccccn7)CC6)SC5c5ccc(O)cc5O)cc4)nc(N(C)C)n3)ccc12
1267,1537,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(Cc4cn(-c5ccccc5)nn4)CC3)nc21
895,195,CCOC(=O)c1cn(CC)c2nc(C)ccc2c1=O
66,349,CCCCn1c(-c2cc(-c3ccc(Cl)cc3)nc(N)n2)nc2ccccc21
1140,1251,Cc1ccc(-c2nn(-c3ccccc3)cc2C2CC(=O)N(c3ccc(F)cc3)C3=C2C(=O)CCC3)cc1
1407,210,CC1=C2OCC(C)c3c(O)cc(C)c(c32)C(=O)C1=O
1007,397,Fc1ccc(-n2cc(CN(Cc3cn(-c4ccc(F)cc4Cl)nn3)c3nc4ccccc4s3)nn2)c(Cl)c1
621,1302,O=C(O)c1cn(C2CC2)c2cc(N3CCN(CC(P(=O)(O)O)P(=O)(O)O)CC3)c(F)cc2c1=O
902,804,O=C1CCCC2=C1C(c1cn(-c3ccccc3)nc1-c1ccc(F)cc1)CC(=O)N2c1ccc(F)cc1
685,78,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1c[n+](c2ccccc21)Cc1cccc(n1)C[n+]1cn(c2ccccc21)Cc1ccc(cc1)C3=O.[Br-].[Br-]
241,267,Cn1c(=O)c2ncn(Cc3cc(=O)oc4ccc5ccccc5c34)c2n(C)c1=O
941,777,COc1ccc(-c2nn(-c3ccccc3)cc2C2CC(=O)N(c3ccc(F)cc3)C3=C2C(=O)CC(C)(C)C3)cc1
85,173,O=c1c2c3c(sc2nnn1-c1cccc(Cl)c1)CCCC3
1136,759,COc1c(O)cc2oc(-c3cc(O)cc(O)c3)cc2c1CC=C(C)C
601,1538,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1018,760,CCC(=O)N(C1=NN(C(=O)CC)C2(S1)C1CCCC2C(c2ccccc2Cl)NC1c1ccccc1Cl)c1ccccc1
688,528,COc1cc(C2SCC(=O)N2CCN2CCNCC2)ccc1O
1403,1195,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CN4C(=O)C(=O)c5cc(C)ccc54)C(C)C3)c(F)c21
1514,1556,CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O
1263,1342,Clc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Cl)cc4)nn3)c3nc4ccccc4s3)nn2)cc1
1130,1290,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
500,494,CCN1CCN(CC2SC(c3ccc(OC)c(OC)c3)N(c3ccc(Nc4nc(Oc5cc(=O)n(C)c6ccccc56)nc(N(C)C)n4)cc3)C2=O)CC1
391,504,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCCCCn1c[n+](Cc2ccc(F)cc2F)cn1.[Br-]
1359,185,N#Cc1c(-c2ccc(Cl)cc2Cl)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N
339,1111,CCOC(=O)c1cn(CC2CO2)c2c(Cl)cc(Cl)cc2c1=O
1218,1552,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
773,438,Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N5C(=O)C(CN6CCN(c7ccccn7)CC6)SC5c5ccc(O)cc5)cc4)nc(N(C)C)n3)ccc12
466,896,FC(F)(F)c1cc(NCc2nc3ccccc3[nH]2)cc(C(F)(F)F)c1
84,848,CCn1cc(C(=O)NNC(N)=S)c(=O)c2ccc(C)nc21
276,1506,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
416,702,COc1ccc(-c2cc(-c3ccc(Nc4cc(=O)oc5ccccc45)cc3)nc(N)c2C#N)cc1
993,112,Cc1ccc2c(c1)C(=O)C(=O)N2CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
398,214,CCn1cc(C(=O)NNC(N)=S)c(=O)c2ccc(C)nc21
