Model,Test Matthews Corrcoef,Test Balanced Accuracy,Test F1 Score,Test AUC,Test Accuracy
SVM,0.6129771706935131,0.8511904761904763,0.647887323943662,0.9048809523809523,0.9193548387096774
kNN,0.5820162746746048,0.7821428571428571,0.6206896551724138,0.8944047619047619,0.9290322580645162
Random Forest,0.5727527946331205,0.8065476190476191,0.6153846153846154,0.9079761904761904,0.9193548387096774
Naive Bayes,0.5338403456936462,0.799404761904762,0.5797101449275363,0.8590476190476191,0.9064516129032258
CatBoost,0.5189267612782152,0.7845238095238095,0.5671641791044776,0.9220238095238096,0.9064516129032258
MLP,0.48843555636431435,0.7547619047619047,0.5396825396825397,0.844047619047619,0.9064516129032258
Logistic Regression,0.4772286584239315,0.7869047619047619,0.5263157894736842,0.8276190476190475,0.8838709677419355
Decision Tree,0.4368454238880656,0.7553571428571428,0.4931506849315068,0.7567261904761906,0.8806451612903226
