,0
GraphFP306,0.04021839710992704
nAcid,0.03758018830407766
AD2D339,0.037529778299080274
IC3,0.03697115232760147
ExtFP639,0.036967736321500785
AD2D173,0.036770270145337604
AD2D495,0.03609168290187468
ExtFP11,0.0351914612507912
MDEC-33,0.03503573072722287
IC2,0.03495868346141589
ExtFP515,0.03490675905090829
FP94,0.034866963634455184
FP143,0.0347774046425628
ExtFP444,0.03453071383364063
AD2D345,0.03433513486818084
ExtFP390,0.03422508988393463
ExtFP16,0.033419725160699826
FP485,0.033282912631171405
FP416,0.03324332854937724
FP10,0.03299928456765908
AD2D703,0.032950829524350654
ExtFP132,0.0324615936785477
FP867,0.03244916684878975
FP434,0.03230531576074809
ExtFP96,0.032200957183602885
FP782,0.032051751871184524
FP168,0.03178237368243037
BCUTp-1h,0.031634651343063806
ExtFP960,0.03150551531078768
GraphFP457,0.03150165684945944
FP29,0.03149212128601771
ExtFP878,0.031384701698483064
IC1,0.031318108758125865
ExtFP29,0.03128076216276526
ExtFP144,0.031276991875873
FP984,0.03124502927235643
ExtFP58,0.031239520269060572
FP471,0.031054414425208902
ExtFP985,0.031036243338782184
SCH-3,0.030949469770841204
FP58,0.030825343358269676
AD2D501,0.030764720201081834
ExtFP439,0.030751040759190395
AATS7i,0.03069915137150752
ExtFP485,0.030563898378312936
GraphFP87,0.030447245320418745
ExtFP409,0.03043942981624707
ExtFP456,0.03041748489114022
ExtFP842,0.03037424268240648
FP6,0.030296471108004028
ExtFP683,0.030204714208476945
FP124,0.030007451843507917
ExtFP363,0.029995940748474545
FP907,0.02985676301599651
FP247,0.029782589564533262
FP80,0.029775500159137325
FP578,0.029688736024379447
ExtFP441,0.029686054670195115
FP505,0.029557955554924804
ExtFP239,0.029528078664214984
MDEO-11,0.02950770611268414
ExtFP488,0.02944513813305716
FP153,0.029409006284759252
ExtFP492,0.029404294804354025
ExtFP558,0.029354031923728995
ExtFP831,0.029353020739674697
FP970,0.029317960496803564
ExtFP169,0.02927413621196516
ExtFP290,0.029252371666541186
ExtFP95,0.029138562727047013
FP344,0.029134348344849834
FP734,0.029123749855032237
ExtFP253,0.02911167965362938
SC-3,0.029111345590253745
ExtFP824,0.02907529652682001
ExtFP941,0.029073663462578513
FP26,0.028951347228080064
ExtFP312,0.02891547121657258
ExtFP838,0.028904517441468307
ExtFP8,0.028895686657216504
ExtFP74,0.028891471560898628
ExtFP550,0.028877575748802474
AD2D403,0.02886446134122434
FP300,0.02884897584110761
FP249,0.028839317919477775
ExtFP90,0.028765139982202953
naAromAtom,0.02874794533143843
FP695,0.02871342580200465
GraphFP755,0.028668673221706208
ExtFP888,0.028644273354290636
ExtFP883,0.028548112108676697
FP302,0.028547967461877415
ExtFP712,0.028511654518903178
FP204,0.02843732238336861
MDEC-23,0.02841620227306904
FP167,0.028392871478539694
FP727,0.028384413383325972
FP118,0.028351667827394
GraphFP276,0.02834502627906854
FP582,0.028314636034388586
ExtFP329,0.028311985865602907
ExtFP36,0.02830733359163934
ExtFP21,0.028302748712165177
ExtFP168,0.02828043750969367
FP366,0.02825116637431888
ExtFP276,0.028175764983259976
GraphFP808,0.02817274302528665
ExtFP70,0.028100881942458175
AD2D329,0.028089344052048403
