,PC1
ExtFP123,0.022610050507532974
ExtFP943,0.022606799834658076
ExtFP423,0.02259931567988792
GraphFP446,0.022597956505105137
GraphFP795,0.022597643521927214
FP39,0.02259415034622967
ExtFP397,0.02259341114811271
ExtFP901,0.022592147927148434
FP787,0.022572696192900057
FP19,0.022572646657189596
ExtFP661,0.02256120620625713
ExtFP55,0.02252672177532303
GraphFP309,0.022519438528783173
FP389,0.0225164682469679
ExtFP302,0.022508044604853464
FP719,0.02249909952969725
FP50,0.022492499621475256
ExtFP826,0.022478522503797338
ExtFP721,0.022476598189493966
ExtFP70,0.02247515319907853
FP208,0.02245847610796705
ExtFP344,0.02245204180529872
ExtFP582,0.02245169188295409
FP809,0.02243900883723861
ExtFP253,0.02243582789026033
ExtFP21,0.02241801758540636
ExtFP129,0.022415537101224833
FP210,0.022394002864340824
GraphFP760,0.02239359241767032
FP1019,0.0223918493746764
FP400,0.02238402327676376
FP277,0.022376417065150728
ExtFP469,0.02237171721035671
GraphFP587,0.022366486533213537
FP336,0.022353497039081165
SubFPC303,0.022321311031008782
FP327,0.022317215790542914
ExtFP6,0.022313999566777588
ExtFP888,0.022308187995034864
ExtFP196,0.02228573620449925
ExtFP29,0.02228231458622239
ExtFP894,0.022272832935333806
FP493,0.022267825487971103
GraphFP947,0.022257698395224
FP904,0.02225117686313308
ExtFP712,0.02225019147492493
FP118,0.022249791357881847
FP108,0.02224559123920165
ExtFP316,0.02224387680452357
ExtFP815,0.022242541358283435
FP949,0.02223357569082636
ExtFP905,0.022226650422598925
GraphFP958,0.02222323314160565
FP550,0.02221821793292949
FP691,0.022198056422537405
ExtFP90,0.02219758297211071
ExtFP25,0.022184750883699682
ExtFP303,0.022183388238969433
KRFP4264,0.022181581832523
ExtFP5,0.022174818097218864
MACCSFP126,0.022171581751983534
PubchemFP553,0.022170250308933333
nsssN,0.02216262279466778
FP931,0.022160619426780128
GATS6s,0.022160023333904533
FP620,0.02215421534593045
ExtFP724,0.02213712897499411
ExtFP82,0.022123699420947922
FP910,0.02211965323567774
ExtFP320,0.022113932958958082
GATS2c,0.02211067986839241
FP533,0.022096536834080242
ExtFP656,0.022092304514373474
FP22,0.022089611624674075
GraphFP96,0.02208586800781044
ExtFP133,0.022075088852510843
ExtFP174,0.022063176545282927
ExtFP801,0.02205911026871334
FP120,0.022050733350941112
FP51,0.022050282938855168
GraphFP170,0.022047185021229224
ExtFP928,0.02203924784209819
FP58,0.022028500766808293
MDEN-23,0.022026000569404205
KRFP3671,0.022000280563850335
FP905,0.021990001393043135
GraphFP942,0.021989374003107763
ExtFP717,0.02196719900462107
ExtFP511,0.021966091352203745
ExtFP767,0.021961571883185323
FP597,0.02196103528095547
ExtFP989,0.021957227300798254
KRFPC3640,0.02194312558410098
ExtFP87,0.021941428003163087
ExtFP183,0.021935407243301164
ExtFP889,0.021912790951584202
ExtFP3,0.021909213554275126
FP764,0.02189858830672635
ExtFP416,0.021897725957071384
ExtFP910,0.021865737754434598
FP996,0.021863158783020416
ExtFP1,0.02185820370798049
ExtFP937,0.02184895049090206
FP572,0.02184658016071464
AD2D326,0.021838049951347395
ExtFP165,0.021827529447860088
GraphFP149,0.021815075853705793
FP366,0.021814100156248
FP117,0.021813567351149525
GraphFP269,0.02180687178206731
FP750,0.02178050761822807
ExtFP646,0.02177850570165383
FP734,0.02177249540718332
FP780,0.02176717069639115
ExtFP828,0.02175451660992095
FP767,0.021742784424302893
FP682,0.02174120115188858
ExtFP504,0.021734475876168023
FP45,0.021726983197364987
ExtFP567,0.021724460175335445
FP26,0.021723851543872016
GraphFP517,0.02170161378703028
ExtFP991,0.021701482824436014
ExtFP400,0.021691991636890208
FP436,0.021690155440832495
FP951,0.021687910652203334
ExtFP161,0.021670998864143566
FP590,0.021665012444494876
ExtFP420,0.0216542060392578
FP390,0.021649918303495604
ExtFP328,0.021641575061379127
ExtFP786,0.021634909031723045
FP44,0.021633272354326636
SubFP88,0.021632273254459464
FP217,0.021625892713902528
FP571,0.021607899286018556
PubchemFP573,0.021572790134072452
GATS7e,0.02157200822531706
ExtFP486,0.021570588360044916
KRFP3640,0.02156364925688696
FP925,0.021560445892021992
ExtFP361,0.02155243014183799
FP359,0.02153900025100341
FP259,0.021533926902800166
ExtFP144,0.021533082676971117
KRFP3956,0.021533002390844748
ExtFP60,0.02153066790175598
ExtFP164,0.02151969538622737
ExtFP272,0.021517114668193615
ExtFP865,0.021514286961131182
ExtFP326,0.021507372321556233
ExtFP284,0.021498931847197224
FP1011,0.02149194275404176
FP332,0.021485717183807006
GraphFP899,0.021481286465118096
ExtFP15,0.021463445748215727
KRFP3722,0.021462038484304106
GraphFP287,0.02145699569345059
FP350,0.021450258605570694
FP596,0.021442842005882028
FP754,0.021408648850816968
ExtFP128,0.021407606907995414
ExtFP314,0.021400284563896883
FP414,0.021396739677821484
ExtFP740,0.021393484009009683
FP707,0.02138972563340208
FP423,0.02138687383498444
FP160,0.021385359211960515
FP795,0.021383426611263353
FP688,0.021367883768908014
FP848,0.02135082078027725
FP502,0.02134965802060254
ExtFP863,0.02134557079964856
ATSC2m,0.021341342533478445
ExtFP811,0.021322647771457034
FP647,0.021319358141139062
FP607,0.021314619997799544
ExtFP494,0.0213060669115452
FP714,0.021296081281944913
ExtFP736,0.021285884330060793
GraphFP917,0.021255588016574452
ExtFP364,0.021250059516872425
PubchemFP577,0.021247365212103155
ExtFP159,0.02123885902954269
ExtFP948,0.021232734633052707
FP109,0.021222504073518115
GraphFP302,0.021216393769035218
FP644,0.02121214871562384
ExtFP331,0.021208350426671067
FP955,0.02120810271729452
ExtFP896,0.021196641739828857
FP206,0.02119392290896822
FP874,0.021182620866214287
ExtFP258,0.021182355251558472
ExtFP803,0.021180922454871565
ExtFP730,0.021174655274887492
ExtFP516,0.02115986673880616
FP17,0.0211547980559654
FP715,0.021153343387893958
ExtFP263,0.0211502717309225
FP302,0.021143502782721462
ExtFP976,0.021131258639998686
GraphFP453,0.02112494793534063
ExtFP80,0.021118145130735105
FP486,0.02110058742673782
ExtFP108,0.02109433213167881
GraphFP731,0.02108647391742822
FP57,0.021073432246217893
FP746,0.021068991316918313
ExtFP295,0.02106870640031393
FP820,0.021065757177482193
PubchemFP535,0.021062607994153305
FP933,0.02105150910678803
FP819,0.021049891258514877
ExtFP861,0.021048753760746778
ExtFP297,0.021040163408784954
PubchemFP358,0.0210209634587912
ExtFP217,0.021015851008801996
ExtFP765,0.02101059340162691
FP354,0.021009931270585917
ExtFP773,0.021003045119486755
ExtFP225,0.020999002313512517
ExtFP702,0.020986596188278462
FP348,0.020985709595196335
FP247,0.020978728775276227
FP799,0.02097638799127863
ExtFP556,0.02097574637948209
GATS6e,0.020961172196384686
FP684,0.020960260339161308
FP534,0.020935879317482153
FP586,0.020920817932309734
FP139,0.02090829016634467
FP555,0.020908056671334503
GraphFP638,0.02090669773065016
ExtFP833,0.02090339008282167
KRFP3701,0.020886409787560338
ExtFP119,0.02086882645323966
FP482,0.020865275150168776
ExtFP572,0.02086025053595068
ExtFP59,0.020852495483596113
FP269,0.020850261499754382
ExtFP963,0.020846630197652264
ExtFP784,0.020841900301594288
AATSC1c,0.020831947713457415
ExtFP187,0.02082885550453188
PubchemFP183,0.020824010890988016
GraphFP723,0.020818054582431623
ExtFP378,0.0208101654531744
FP492,0.020793705915911263
FP88,0.020786961195588836
FP136,0.020779586088335033
KRFP504,0.020770395282012813
ExtFP536,0.020768740261417413
ExtFP429,0.020766197658312602
ExtFP831,0.020760380935317454
ExtFP414,0.02075782845258665
FP788,0.020753088244921888
FP633,0.020751087893188008
ExtFP294,0.02074256857736991
ExtFP313,0.02074041599699818
APC2D9_N_O,0.02073653919390466
FP60,0.02072727229812138
FP361,0.020720808330257634
GraphFP768,0.020698320603061256
GraphFP135,0.020697341964123983
ExtFP759,0.02066692017184698
FP153,0.02065769076170477
FP319,0.020657424522399572
APC2D5_N_O,0.02065667661407607
FP791,0.020656405058028016
FP122,0.02064010399762116
FP443,0.020638146367292973
FP47,0.020633714518303217
ExtFP276,0.020620827835847233
GraphFP925,0.02061860590495303
FP213,0.020617348017412572
FP140,0.020608681705034458
FP849,0.020603240473663492
GraphFP404,0.0206010174214904
FP744,0.02059802929787473
FP1012,0.02059637780234722
ExtFP69,0.020583737628040572
FP537,0.02057293072915006
ExtFP690,0.02053738911469941
ExtFP988,0.020533655494348574
FP404,0.02053220377753544
GraphFP552,0.020511402576005738
ExtFP324,0.02049344430485961
ExtFP440,0.020491055579505858
GraphFP259,0.020490908757239884
ExtFP741,0.02048452933000899
ExtFP548,0.020480241244737254
ExtFP419,0.02047072200943331
FP626,0.02046883974235428
ExtFP335,0.02045490477946096
FP805,0.020430114350735155
AD2D481,0.02042555969405514
ExtFP621,0.020419505594903797
FP306,0.020418067091741623
FP983,0.02041799451194652
ExtFP550,0.020409041889973986
ExtFP385,0.020404716523729556
ExtFP182,0.020386233539139695
ExtFP998,0.020384593505794833
GraphFP338,0.020381762152146363
ExtFP954,0.02038058411108013
KRFPC3671,0.020374168423933053
FP142,0.0203720569683566
FP494,0.020364884717738164
FP728,0.02035363710707102
FP166,0.0203510481453037
ExtFP919,0.0203492681869122
MACCSFP79,0.020346536208612338
KRFPC3660,0.02032479604216717
ExtFP36,0.020324248961757996
FP668,0.020321101656705996
GraphFP174,0.020317539345601612
GraphFP839,0.02031199033630291
ExtFP735,0.020311797706975675
ExtFP220,0.020311382294157215
FP514,0.020276967124802366
FP203,0.020264495470394193
FP435,0.020261828257786454
ExtFP658,0.020261600377167715
ExtFP520,0.020260398109935972
FP146,0.020225255949277945
FP474,0.0202221080727299
ExtFP880,0.020216513407573754
SubFP135,0.020215792535214203
FP55,0.020214760663531558
FP411,0.02021194468555523
FP512,0.020190669029939646
ExtFP265,0.020188328664807652
FP988,0.02017032022714175
FP173,0.020167446833889602
FP756,0.020158936794921967
GraphFP223,0.020156771309646136
ExtFP961,0.020129372271328615
ExtFP634,0.020126848225018108
ExtFP359,0.020115805051779696
MACCSFP74,0.020114679337967657
ExtFP915,0.020107133295309318
AD2D247,0.02010694407556548
ExtFP92,0.020077919541778212
GraphFP224,0.02007166207438573
FP427,0.02006689467758162
FP669,0.020066218342461663
FP784,0.020064116878721706
ExtFP259,0.02005045316012644
ExtFP554,0.02003838605544999
FP696,0.020027798114971077
FP287,0.020022214954868042
FP841,0.02000765094361088
ExtFP693,0.020006936563569302
ExtFP835,0.01999262572966427
GraphFP604,0.019990866772198065
FP961,0.019982666764321953
FP708,0.019979022059592438
ExtFP929,0.019972949509978796
ExtFP667,0.01997143263085814
minsssN,0.019970689481445262
ExtFP842,0.019970676923165964
FP345,0.019965124441190685
ExtFP603,0.019961512735075463
FP184,0.019957645980350366
GraphFP681,0.019957474887395178
GraphFP481,0.019957179816636354
FP825,0.019949159833587013
ExtFP574,0.019948606463990406
FP251,0.019947401291682484
ExtFP113,0.019944040077927834
FP611,0.019939211586454248
FP430,0.019930121519832415
FP893,0.019901754298317344
ExtFP305,0.019876864217342027
ExtFP526,0.019869592714621336
FP858,0.019866996887736
MACCSFP112,0.019865562020936874
FP981,0.019853098092825802
ExtFP781,0.019848110320541477
ExtFP436,0.019847242366713563
FP321,0.01982751840026981
FP447,0.01982485435362624
ExtFP317,0.019816778285610303
GATS2s,0.019806807405279514
FP695,0.019792158664257445
ExtFP38,0.01979094705254087
