,0
mol_id,0.11355756927313654
Molecular Weight,0.07042721688918832
AATSC6e,0.005765764396474983
MATS6s,0.004728829820487357
MATS6m,0.0041306599430231
SubFP76,0.003833804313361597
ExtFP149,0.003560643187909236
ATSC6e,0.003540831029117874
KRFP3143,0.003215800528659211
MATS3s,0.0031593404324805068
ATSC6c,0.0030949345000228843
AATSC6m,0.002962979932732991
ATSC5p,0.0028462115508350503
AATSC7p,0.0028339244784915635
GATS5c,0.0028002800959039506
ATSC1i,0.0027074118738715514
ATSC6i,0.0026881639293037996
maxwHBa,0.0025891006979503594
MDEC-23,0.002537031174196422
GATS6e,0.0025248229408764413
SdssC,0.0024415524699698053
ExtFP485,0.0024396058922505873
AATSC1c,0.002416443048337557
ATSC4v,0.0024089504069554264
ATSC6v,0.0023976939922167755
AATSC6v,0.0023197343298158434
ATSC8i,0.0023018016277047072
MDEC-33,0.002285391520484898
GATS6s,0.002282543215256861
MAXDN,0.0022145194150747258
MATS8s,0.0021873719456050314
ATSC6m,0.002185221114044908
ETA_dBeta,0.002170565560261261
ECCEN,0.002149902948145305
GATS4c,0.0021244552555977356
GATS5e,0.002112669013807744
ATSC5c,0.0021075723331319086
ATSC4i,0.0020960233315324645
ATSC7v,0.0020850463959752336
MATS7s,0.002079926295925308
SHBint7,0.0020788501184379566
ATSC5m,0.0020602787734310146
minwHBa,0.002049863983752112
ATSC3c,0.0020475885697382704
GATS7c,0.00203295782300643
minHBint2,0.002015090272672969
minHother,0.0020086188016799488
KRFPC3750,0.0020053693293813337
GATS7m,0.0019907155540495364
MATS8m,0.001974353542544426
MATS2m,0.001972366387808201
ATSC2s,0.001970417727050299
hmin,0.0019642524498199904
GATS8v,0.001955164996370742
GATS8e,0.0019356784945331188
AATSC7s,0.001934422276910124
ATSC3v,0.001920292804207014
ExtFP814,0.0019191527726614773
AATS2s,0.0019137238046840672
MATS5s,0.0019101215267416853
XLogP,0.0018985598178719674
GATS7e,0.0018888611361211015
ATSC5e,0.001883720627158242
ATSC5v,0.0018799959841821012
FP105,0.0018763132109160593
AATSC6i,0.0018753275345239988
minssCH2,0.0018484911359365605
GATS1e,0.0018452758496006294
hmax,0.001838870977326238
ExtFP382,0.0018367488937210976
LipoaffinityIndex,0.0018367417638462937
GATS8m,0.0018330027210611453
AATSC1m,0.0018289188369481771
AATSC7v,0.0018207674572802786
MDEO-11,0.001817612415075437
minaasC,0.0018163302121118855
AATSC8v,0.001801714889603277
GATS4m,0.0017891477258877722
SHBint8,0.0017821281122731819
AATSC4p,0.0017568653260874442
maxHBa,0.001749712737450501
KRFP3682,0.0017426802588764285
ATSC0c,0.0017386318370873782
KRFP1931,0.001731690617992148
ATSC8s,0.0017285519533687295
RotBFrac,0.0017274960938969204
ATSC2m,0.0017204268310877274
C2SP2,0.0017202344523728724
AATS8s,0.0017099450665299008
ATSC4c,0.0017033205477353258
ATSC1c,0.0016961834541825743
AATS7m,0.0016960639390328374
RotBtFrac,0.0016890980727775628
FP193,0.0016789233713828734
FP436,0.0016674908212605862
AATSC5m,0.0016660829483961493
