,Feature,Importance
1449,ExtFP99,0.0006642346609439367
491,FP158,0.0006636051534553588
268,ETA_dEpsilon_D,0.000660075405255401
1436,ExtFP86,0.0006569730872871781
1238,FP910,0.0006562690271118535
1638,ExtFP289,0.0006559497746392556
1806,ExtFP458,0.0006553138940856248
638,FP306,0.0006515157470240521
1553,ExtFP204,0.0006512016936080634
484,FP151,0.0006435871174388662
1905,ExtFP558,0.0006426277386848734
1362,ExtFP11,0.0006418852516979079
331,VR1_D,0.0006399803169902026
122,AATSC8v,0.0006357853155532239
356,FP23,0.0006351730716309962
12,ATS0m,0.0006304554020218465
2038,ExtFP692,0.0006251858979378211
2834,GraphFP536,0.0006251289122984838
1897,ExtFP550,0.0006190211521376462
1045,FP715,0.0006183159741070948
950,FP620,0.0006180355670445433
2491,GraphFP153,0.000617344274857359
316,PetitjeanNumber,0.0006171116642466437
1065,FP735,0.000617098708070794
862,FP531,0.0006099728055701511
280,ETA_EtaP_B,0.0006095612210441375
1057,FP727,0.0006082537819254978
1276,FP948,0.0006076193486277747
206,GATS7s,0.0006066834060106418
857,FP526,0.0006024324692401288
3289,AD2D285,0.0005984264911417579
1247,FP919,0.0005946498188317901
1882,ExtFP534,0.0005938434079720294
1745,ExtFP397,0.0005902012359683064
65,ATSC2m,0.0005874307108325215
3305,AD2D337,0.0005863404414739441
1168,FP840,0.0005862665377167574
1813,ExtFP465,0.0005853653574220775
1812,ExtFP464,0.0005852329819417471
79,ATSC8v,0.0005824630865867857
420,FP87,0.0005818965710732254
170,GATS7m,0.0005815364234491026
649,FP317,0.000581492042057972
1192,FP864,0.0005805558809456356
210,VE3_DzZ,0.0005775825409991614
2979,GraphFP707,0.000570648881592881
1791,ExtFP443,0.0005703447598101923
2077,ExtFP733,0.0005699606565331157
2557,GraphFP223,0.0005682459438483189
2562,GraphFP228,0.0005664134942534053
2510,GraphFP173,0.0005659478440345856
2812,GraphFP512,0.0005639281545050792
224,BCUTw-1h,0.0005628395025862934
2204,ExtFP861,0.0005600880258076079
888,FP557,0.0005597115862274038
1976,ExtFP630,0.0005583224741044988
2886,GraphFP599,0.0005578855698899646
1844,ExtFP496,0.0005575562933825437
548,FP215,0.0005561495012591101
738,FP407,0.0005534375943156292
308,MDEO-22,0.0005506197134064475
374,FP41,0.0005503261716023614
2765,GraphFP459,0.0005498703378608128
1071,FP741,0.0005477120355652156
2219,ExtFP876,0.0005464242598800082
309,MDEN-11,0.0005453926584081799
2588,GraphFP260,0.0005447629741900321
228,BCUTp-1h,0.000544041750286098
273,ETA_Shape_X,0.0005439133730456001
3257,AD2D171,0.0005396750371452723
365,FP32,0.0005344208024054728
2777,GraphFP474,0.000533502235552718
2534,GraphFP199,0.0005317777965160353
2174,ExtFP830,0.0005316411353796544
679,FP347,0.0005315984356449847
2379,GraphFP36,0.0005313435249773782
1018,FP688,0.0005311071803452591
2925,GraphFP647,0.000530690427482944
1877,ExtFP529,0.0005278558798495732
2476,GraphFP137,0.0005253310842179423
1870,ExtFP522,0.0005246742298462346
1896,ExtFP549,0.000522291045408407
2,naAromAtom,0.0005214566120584763
1532,ExtFP182,0.0005208209267068124
2428,GraphFP87,0.0005176351604489288
2382,GraphFP39,0.0005172709368071364
1150,FP822,0.000516849862766412
1709,ExtFP361,0.0005091255067227679
3347,AD2D488,0.0005089572030673667
979,FP649,0.0005079037097964836
1034,FP704,0.0005067933150248984
1671,ExtFP323,0.0005066462212492063
317,nRotB,0.0005058683189424208
234,C3SP2,0.0005041822214413443
2716,GraphFP399,0.0005033789539693977
2067,ExtFP722,0.0005031869592573211
2586,GraphFP258,0.0005007430674444246
3366,AD2D548,0.0004935404216805045
3302,AD2D331,0.0004918216082035052
330,JGI10,0.0004909509674192749
2749,GraphFP439,0.0004900258483879264
3211,GraphFP983,0.0004895382026499058
311,MDEN-13,0.0004887733878606903
756,FP425,0.00048810352707806813
73,ATSC2v,0.0004872612555624507
873,FP542,0.00048577208997938894
2616,GraphFP289,0.00048360948096912284
1770,ExtFP422,0.00048345709644479547
300,MDEC-13,0.0004803234593791655
298,MDEC-11,0.000480090718811647
3303,AD2D335,0.0004795830311850134
475,FP142,0.00047936900475032784
3024,GraphFP760,0.00047835082348373167
1505,ExtFP155,0.0004761248885015455
3144,GraphFP903,0.00047485571568469276
1148,FP820,0.00047345259073903106
121,AATSC7v,0.0004719085751773901
383,FP50,0.00047159926785933607
10,nI,0.0004703288371929726
2827,GraphFP528,0.00046846388072333884
1064,FP734,0.00046656325408716523
804,FP473,0.00046613338339763436
549,FP216,0.0004643861417132947
3240,GraphFP1019,0.00045720415280935714
2220,ExtFP877,0.0004571521196044452
682,FP350,0.0004569091500141898
2330,ExtFP989,0.00045634071873932523
3037,GraphFP773,0.00045583321496220743
1958,ExtFP612,0.00045497397641825464
1588,ExtFP239,0.0004527515078611366
1910,ExtFP564,0.0004518925994588531
2393,GraphFP50,0.0004498557561431399
1634,ExtFP285,0.00044967492055775194
431,FP98,0.000449479965179635
1914,ExtFP568,0.0004489521834729843
2561,GraphFP227,0.00044480771668751535
500,FP167,0.0004440147781141402
2180,ExtFP836,0.00044135758836784655
2150,ExtFP806,0.000440493963066646
1428,ExtFP78,0.00043867067824899527
2761,GraphFP453,0.00043540840370292057
1215,FP887,0.0004339266057655118
380,FP47,0.00043362556690276376
925,FP595,0.0004328348959852582
1835,ExtFP487,0.00043221980061402653
2007,ExtFP661,0.0004305443032960525
560,FP227,0.000430421898010769
2071,ExtFP726,0.00042969598934856386
426,FP93,0.00042799541637909334
2267,ExtFP925,0.000427272526144543
883,FP552,0.0004260787967402905
2130,ExtFP786,0.0004256393164761054
2411,GraphFP69,0.000425091282087142
3055,GraphFP795,0.0004245972209752547
2819,GraphFP519,0.00042459674511161137
3292,AD2D312,0.0004241504198237969
1499,ExtFP149,0.0004239816030391731
2877,GraphFP587,0.00042292527073409405
377,FP44,0.0004201371701112651
886,FP555,0.00041961111022714834
235,C1SP3,0.00041575041264219087
1237,FP909,0.00041354543744561453
656,FP324,0.00041306786434623264
1566,ExtFP217,0.0004124639680471946
2042,ExtFP696,0.00041124971403565773
2044,ExtFP698,0.0004084550638155825
1639,ExtFP290,0.0004084364119046311
320,LipinskiFailures,0.0004060986002752203
2783,GraphFP480,0.0004023531530542146
1468,ExtFP118,0.00040146777306298106
296,nAtomP,0.00040146304625399484
99,ATSC8i,0.0004013962675303767
2415,GraphFP73,0.0004012113751483888
696,FP364,0.0004010793536394722
828,FP497,0.000399036564269945
451,FP118,0.0003987105374289905
2095,ExtFP751,0.00039824177027247116
51,AATS5s,0.0003978287016700666
816,FP485,0.0003965693424180494
3146,GraphFP905,0.00039594490236186173
421,FP88,0.0003957648063404617
2301,ExtFP960,0.00039518162069917097
2615,GraphFP288,0.00039289459605026846
1165,FP837,0.0003902791819267414
1363,ExtFP12,0.0003898462587316895
2440,GraphFP100,0.000388394181987854
1145,FP817,0.00038824036221025515
213,SM1_Dzv,0.00038752449325508943
3252,AD2D102,0.00038496637017738163
1366,ExtFP15,0.0003828832897857766
961,FP631,0.000382653766919307
3323,AD2D407,0.0003792464172961737
769,FP438,0.0003778179946553038
808,FP477,0.00037605440672361704
1640,ExtFP291,0.0003749800732912747
3025,GraphFP761,0.0003739097212353699
2008,ExtFP662,0.000373616741466258
892,FP561,0.00037348307130971966
2754,GraphFP446,0.0003728626367787659
3402,AD2D637,0.0003719997622955066
2302,ExtFP961,0.00037180296434329523
2504,GraphFP167,0.0003713510259504635
223,BCUTw-1l,0.00037075313079596535
2179,ExtFP835,0.00037057702877977
2520,GraphFP183,0.00036911340249705035
3073,GraphFP817,0.00036902028949040833
1913,ExtFP567,0.00036796023769762257
1570,ExtFP221,0.0003671904445576675
2432,GraphFP91,0.00036703692277807476
3054,GraphFP794,0.00036698116731448475
1009,FP679,0.00036534543756022
1697,ExtFP349,0.00036478182964526053
3261,AD2D180,0.0003636426040753208
3319,AD2D402,0.00036080749262615655
1924,ExtFP578,0.00036036262239579867
2546,GraphFP212,0.000354506929337187
1885,ExtFP537,0.00035294235933161055
1951,ExtFP605,0.00035264534943769217
312,MDEN-22,0.00035057106303662213
2558,GraphFP224,0.0003499716165556079
2593,GraphFP265,0.0003490922448282333
1555,ExtFP206,0.00034877122841224344
698,FP366,0.0003483746123124172
2124,ExtFP780,0.0003475249142375529
1141,FP813,0.000346706637255996
2789,GraphFP487,0.0003435369100439816
1433,ExtFP83,0.00034294605906875776
509,FP176,0.0003425902541847398
1329,FP1002,0.0003421722410959669
569,FP236,0.00034010811046232694
430,FP97,0.00033865622958881617
1888,ExtFP540,0.00033856153695455143
1381,ExtFP30,0.00033607554987862746
1031,FP701,0.00033587174273045403
2574,GraphFP243,0.0003346206262148173
1542,ExtFP193,0.00033286249609119234
42,AATS5i,0.000332748952929096
2113,ExtFP769,0.00033247042375127557
2239,ExtFP896,0.0003324020219143951
1604,ExtFP255,0.0003317099184790933
2271,ExtFP929,0.0003311646667782823
3004,GraphFP733,0.0003308586143628162
789,FP458,0.0003305556956311545
1646,ExtFP298,0.00033006420815744856
3143,GraphFP902,0.0003298635706700079
2624,GraphFP298,0.00032733113957406616
2531,GraphFP196,0.0003271080802227714
276,ETA_Beta_ns_d,0.00032569019695207586
1463,ExtFP113,0.0003247595125310051
1869,ExtFP521,0.0003240705218735612
2111,ExtFP767,0.0003232498660877171
2606,GraphFP278,0.00032301416328250974
701,FP369,0.0003221592212892835
667,FP335,0.0003216440964408771
2273,ExtFP931,0.00032158517430273446
436,FP103,0.00032062979060468714
1437,ExtFP87,0.0003199739083197564
3072,GraphFP816,0.0003196997372374633
2605,GraphFP277,0.00031910002946713506
1344,FP1017,0.00031894931960601403
1703,ExtFP355,0.00031780631299397087
1010,FP680,0.0003177876599212861
1081,FP753,0.00031749739648059117
1769,ExtFP421,0.00031619006358379333
3236,GraphFP1015,0.0003151973254802994
1782,ExtFP434,0.00031458987854154517
692,FP360,0.0003134697251497355
1429,ExtFP79,0.00031233017848326694
1283,FP955,0.0003122892655560524
2311,ExtFP970,0.0003098946503793366
2006,ExtFP660,0.0003089293290205331
2091,ExtFP747,0.0003075902471241373
466,FP133,0.00030642271311221494
3092,GraphFP841,0.00030576617549750077
2575,GraphFP244,0.000305663445989842
1678,ExtFP330,0.000305525578615784
2844,GraphFP548,0.00030417490312833415
2168,ExtFP824,0.00030274559355547917
2466,GraphFP126,0.00030163830045670456
2103,ExtFP759,0.0003006054996378447
2178,ExtFP834,0.00029919665658089176
2836,GraphFP538,0.000298658526653506
810,FP479,0.0002981232288570704
819,FP488,0.00029712188512063376
2033,ExtFP687,0.00029665285581317657
2828,GraphFP529,0.0002955455514097003
807,FP476,0.00029533084222325946
2060,ExtFP715,0.0002947365326225032
1989,ExtFP643,0.00029165686074488785
2816,GraphFP516,0.0002903672412792662
1735,ExtFP387,0.00029003220817190465
1841,ExtFP493,0.00028924425675855314
601,FP269,0.00028876087622315956
1059,FP729,0.0002877668859229329
244,SC-4,0.00028700689330606223
3388,AD2D584,0.00028676282354127345
2076,ExtFP732,0.0002865690302196073
3382,AD2D573,0.0002864508521342697
219,VE2_Dzs,0.0002861099902874476
1273,FP945,0.00028546080329488105
767,FP436,0.0002849733886603844
